,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Comoros,246.0,284.0,313.0,336.0,362.0,381.0,397.0,414.0,440.0,442.0,482.0,471.0,523.0,551.0,533.0,564.0,567.0,601.0,614.0,636.0,659.0,697.0,737.0,770.0,789.0,849.0,886.0,914.0,941.0,966.0,1553.0,1651.0,1818.0,1955.0,2063.0,2107.0,2278.0,2468.0,2619.0,2716.0
Democratic Republic of the Congo,19622.0,21657.0,22896.0,24136.0,26203.0,27167.0,29023.0,30559.0,31775.0,32595.0,31581.0,29876.0,27360.0,24238.0,23233.0,24373.0,24338.0,22814.0,22168.0,21651.0,20342.0,20369.0,21291.0,22927.0,25145.0,27546.0,29903.0,32619.0,35331.0,36616.0,40928.0,44655.0,46214.0,53768.0,62685.0,69036.0,75927.0,86267.0,93476.0,99312.0
Republic of the Congo,3126.0,3507.0,3814.0,4060.0,4304.0,4546.0,4747.0,4981.0,6285.0,7918.0,8293.0,8775.0,9209.0,9336.0,9011.0,9565.0,10158.0,10267.0,10766.0,10649.0,11716.0,12439.0,13209.0,13582.0,14440.0,16061.0,17587.0,17769.0,19127.0,20784.0,22864.0,23856.0,28576.0,28056.0,28096.0,22531.0,19019.0,21679.0,20773.0,21012.0
Costa Rica,8173.0,8734.0,8601.0,9196.0,10286.0,10692.0,11512.0,12368.0,13240.0,14534.0,15615.0,16500.0,18428.0,20203.0,21559.0,22916.0,23623.0,25364.0,27425.0,28942.0,30735.0,32533.0,34120.0,36281.0,38896.0,41701.0,46093.0,51185.0,54615.0,54496.0,58248.0,62026.0,66061.0,69477.0,74918.0,80407.0,88230.0,94606.0,99454.0,103339.0
Ivory Coast,15382.0,17406.0,18523.0,18773.0,19050.0,20368.0,21776.0,22220.0,23260.0,24877.0,25516.0,26376.0,26910.0,27500.0,28134.0,30321.0,33386.0,35901.0,38080.0,39288.0,39351.0,40296.0,40233.0,40477.0,42102.0,44205.0,46254.0,48323.0,50524.0,52562.0,72760.0,70672.0,78215.0,86354.0,97907.0,108069.0,112610.0,118051.0,129098.0,139966.0
Croatia,,,,,,,,,,,,,38250.0,36027.0,38965.0,42416.0,45728.0,49601.0,51073.0,51370.0,54517.0,57675.0,61633.0,66356.0,70964.0,76297.0,82405.0,88954.0,92562.0,86378.0,87248.0,88795.0,90201.0,92643.0,93507.0,96740.0,103824.0,110127.0,115810.0,121339.0
Cyprus,3242.0,3653.0,4123.0,4514.0,5087.0,5499.0,5811.0,6384.0,7157.0,8037.0,8951.0,9318.0,10423.0,10745.0,11621.0,13041.0,13456.0,14037.0,14933.0,15893.0,17185.0,18210.0,19118.0,19982.0,21470.0,22986.0,24761.0,26645.0,28217.0,27928.0,27655.0,28346.0,27503.0,26181.0,25611.0,26890.0,30323.0,32589.0,34725.0,36487.0
Czech Republic,,,,,,,,,,,,,,,,143363.0,152232.0,153794.0,154972.0,159606.0,170247.0,179441.0,185196.0,195692.0,211022.0,231843.0,255400.0,276693.0,289769.0,277833.0,293014.0,304401.0,307490.0,324030.0,342100.0,357600.0,381382.0,412903.0,436268.0,454426.0
Denmark,58975.0,64058.0,70533.0,75224.0,81140.0,87087.0,93200.0,95822.0,99160.0,103685.0,109102.0,114307.0,119201.0,122046.0,131290.0,137969.0,144569.0,151837.0,156882.0,163979.0,173997.0,179426.0,183032.0,187407.0,197698.0,208836.0,223674.0,231709.0,235048.0,225215.0,239096.0,247352.0,250525.0,262368.0,270331.0,278823.0,297689.0,317448.0,332837.0,346733.0
Djibouti,,,,,,,,,,,,1168.0,1202.0,1147.0,1156.0,1139.0,1116.0,1122.0,1135.0,1186.0,1222.0,1272.0,1333.0,1403.0,1482.0,1577.0,1704.0,1837.0,1982.0,2029.0,3015.0,3303.0,3436.0,3625.0,3855.0,4181.0,4360.0,4612.0,5120.0,5602.0
Dominica,125.0,151.0,167.0,178.0,192.0,201.0,220.0,240.0,267.0,277.0,303.0,317.0,331.0,346.0,354.0,372.0,391.0,406.0,426.0,434.0,454.0,464.0,458.0,497.0,526.0,547.0,590.0,644.0,703.0,700.0,710.0,723.0,706.0,726.0,781.0,793.0,851.0,814.0,838.0,924.0
Dominican Republic,13501.0,15393.0,16626.0,18082.0,18958.0,19150.0,20224.0,22838.0,24147.0,26190.0,25678.0,26783.0,28917.0,31745.0,33169.0,35723.0,38971.0,42818.0,46308.0,50168.0,54208.0,56437.0,60615.0,61665.0,64187.0,72369.0,82544.0,91921.0,96732.0,98389.0,110625.0,116474.0,118183.0,125424.0,136976.0,151560.0,167506.0,175941.0,192745.0,206098.0
Ecuador,26063.0,29608.0,31823.0,32153.0,34692.0,37378.0,39311.0,37907.0,43347.0,45161.0,48240.0,52394.0,55526.0,57984.0,61739.0,64447.0,66759.0,70841.0,73949.0,71522.0,73948.0,78671.0,83151.0,87118.0,96864.0,105271.0,113283.0,118845.0,128879.0,130594.0,136456.0,150267.0,159560.0,175196.0,186847.0,179310.0,181967.0,195011.0,202268.0,205989.0
Egypt,91072.0,101764.0,115964.0,131241.0,146799.0,162746.0,173929.0,185989.0,200188.0,214196.0,227338.0,239837.0,246041.0,259199.0,275801.0,294177.0,314161.0,338454.0,367932.0,396387.0,427230.0,452366.0,473942.0,498829.0,533521.0,575311.0,633572.0,696532.0,761019.0,802635.0,828662.0,860900.0,958660.0,992022.0,985262.0,1064236.0,1057087.0,1062266.0,1145576.0,1230831.0
El Salvador,10096.0,10407.0,10356.0,10930.0,11469.0,11909.0,12172.0,12797.0,13493.0,14153.0,15385.0,16466.0,18112.0,19909.0,21563.0,23421.0,24255.0,25718.0,26971.0,28329.0,29597.0,30789.0,31993.0,33382.0,34934.0,37343.0,39996.0,42637.0,44028.0,42972.0,37890.0,40156.0,40804.0,43093.0,45534.0,48056.0,51095.0,54006.0,56646.0,59032.0
Equatorial Guinea,100.0,115.0,125.0,136.0,143.0,166.0,166.0,177.0,188.0,193.0,206.0,210.0,285.0,323.0,385.0,461.0,772.0,1945.0,2433.0,3105.0,6202.0,10550.0,12821.0,14890.0,21058.0,23529.0,23484.0,27794.0,33383.0,34089.0,31108.0,33830.0,38743.0,37423.0,37816.0,28095.0,24861.0,28459.0,27452.0,26238.0
Eritrea,,,,,,,,,,,,,2401.0,2775.0,3199.0,3949.0,4115.0,4568.0,4982.0,5158.0,5285.0,4738.0,5232.0,5496.0,5497.0,5757.0,5876.0,6118.0,5628.0,5891.0,4071.0,5224.0,5425.0,4943.0,6594.0,5312.0,5744.0,5247.0,6074.0,6419.0
Estonia,,,,,,,,,,,,,,11090.0,11140.0,11618.0,12460.0,14168.0,14912.0,15010.0,16943.0,18425.0,19845.0,21742.0,23746.0,26807.0,30469.0,33704.0,32502.0,27927.0,29985.0,32891.0,34642.0,36433.0,38300.0,38669.0,41545.0,44709.0,47776.0,51059.0
Ethiopia,10709.0,11709.0,12555.0,14075.0,14238.0,13017.0,14566.0,17010.0,17707.0,18311.0,19483.0,18678.0,17402.0,20197.0,21346.0,23125.0,26734.0,27964.0,27084.0,29229.0,32835.0,36075.0,37227.0,37172.0,42675.0,49617.0,57043.0,65468.0,74220.0,82293.0,89943.0,102289.0,112533.0,122434.0,148487.0,167119.0,191322.0,215094.0,237224.0,263111.0
