Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Trinidad and Tobago,18416.0,19621.0,21504.0,25100.0,27840.0,30520.0,35613.0,38299.0,40374.0,38894.0
Tunisia,57251.0,61396.0,63398.0,68199.0,74250.0,79705.0,86799.0,94681.0,100844.0,104773.0
Turkey,680234.0,654255.0,707015.0,761555.0,857963.0,965355.0,1065760.0,1149159.0,1181605.0,1134568.0
Turkmenistan,11563.0,14238.0,16737.0,19989.0,23556.0,27484.0,31435.0,35840.0,41932.0,44842.0
Tuvalu,22.0,22.0,25.0,24.0,25.0,24.0,26.0,28.0,31.0,30.0
Uganda,22166.0,24659.0,26804.0,29022.0,31551.0,35825.0,39529.0,43853.0,49376.0,53765.0
Ukraine,193472.0,216141.0,231177.0,258226.0,296623.0,315569.0,349893.0,388715.0,405232.0,346506.0
United Arab Emirates,258834.0,269628.0,280429.0,311192.0,350338.0,379166.0,429263.0,454719.0,478437.0,456796.0
United Kingdom,1556051.0,1634901.0,1699794.0,1793779.0,1889699.0,2008467.0,2121999.0,2234142.0,2263680.0,2182160.0
United States,10284750.0,10621825.0,10977525.0,11510675.0,12274925.0,13093700.0,13855900.0,14477625.0,14718575.0,14418725.0
Uruguay,33331.0,32910.0,31059.0,32416.0,34853.0,38422.0,41226.0,45092.0,49276.0,51757.0
Uzbekistan,48591.0,51786.0,54684.0,58117.0,64134.0,70831.0,78483.0,88226.0,98053.0,106800.0
Vanuatu,359.0,355.0,342.0,364.0,388.0,422.0,472.0,510.0,553.0,576.0
Venezuela,279760.0,295848.0,273788.0,257591.0,313074.0,356489.0,403717.0,450740.0,483838.0,471901.0
Vietnam,159786.0,174695.0,189936.0,207945.0,230306.0,255657.0,281900.0,310034.0,334014.0,354717.0
Yemen,55168.0,58571.0,61811.0,65406.0,69874.0,76155.0,80984.0,85914.0,90795.0,95021.0
Zambia,17554.0,18909.0,20064.0,21886.0,24069.0,26641.0,29630.0,32959.0,36218.0,39858.0
Zimbabwe,25003.0,25441.0,23803.0,20270.0,19480.0,18566.0,18451.0,18303.0,15568.0,16869.0
